label,participant,filepath,timestamp
HELLO,p01,data/raw\p01\HELLO\sample_000.npy,2026-08-23T14:17:30.877668
HELLO,p01,data/raw\p01\HELLO\sample_001.npy,2026-08-23T14:17:48.312901
HELLO,p01,data/raw\p01\HELLO\sample_002.npy,2026-08-23T14:17:55.012959
HELLO,p01,data/raw\p01\HELLO\sample_003.npy,2026-08-23T14:17:59.557783
HELLO,p01,data/raw\p01\HELLO\sample_004.npy,2026-08-23T14:18:04.256658
HELLO,p01,data/raw\p01\HELLO\sample_005.npy,2026-08-23T14:18:09.845352
HELLO,p01,data/raw\p01\HELLO\sample_006.npy,2026-08-23T14:18:15.792900
HELLO,p01,data/raw\p01\HELLO\sample_007.npy,2026-08-23T14:18:20.652824
HELLO,p01,data/raw\p01\HELLO\sample_008.npy,2026-08-23T14:18:25.648758
HELLO,p01,data/raw\p01\HELLO\sample_009.npy,2026-08-23T14:18:30.427320
HELLO,p01,data/raw\p01\HELLO\sample_010.npy,2026-08-23T14:18:45.788679
HELLO,p01,data/raw\p01\HELLO\sample_011.npy,2026-08-23T14:18:51.215869
HELLO,p01,data/raw\p01\HELLO\sample_012.npy,2026-08-23T14:18:56.150802
HELLO,p01,data/raw\p01\HELLO\sample_013.npy,2026-08-23T14:19:00.453234
HELLO,p01,data/raw\p01\HELLO\sample_014.npy,2026-08-23T14:19:05.923642
HELLO,p01,data/raw\p01\HELLO\sample_015.npy,2026-08-23T14:19:13.888376
HELLO,p01,data/raw\p01\HELLO\sample_016.npy,2026-08-23T14:19:18.535025
HELLO,p01,data/raw\p01\HELLO\sample_017.npy,2026-08-23T14:19:23.217172
HELLO,p01,data/raw\p01\HELLO\sample_018.npy,2026-08-23T14:19:38.857349
HELLO,p01,data/raw\p01\HELLO\sample_019.npy,2026-08-23T14:19:43.257273
HELLO,p01,data/raw\p01\HELLO\sample_020.npy,2026-08-23T14:19:47.748112
HELLO,p01,data/raw\p01\HELLO\sample_021.npy,2026-08-23T14:19:52.760999
HELLO,p01,data/raw\p01\HELLO\sample_022.npy,2026-08-23T14:19:57.486535
HELLO,p01,data/raw\p01\HELLO\sample_023.npy,2026-08-23T14:20:01.256791
HELLO,p01,data/raw\p01\HELLO\sample_024.npy,2026-08-23T14:20:05.571925
THANKYOU,p01,data/raw\p01\THANKYOU\sample_000.npy,2026-08-23T14:22:38.510605
THANKYOU,p01,data/raw\p01\THANKYOU\sample_001.npy,2026-08-23T14:22:43.802832
THANKYOU,p01,data/raw\p01\THANKYOU\sample_002.npy,2026-08-23T14:22:55.425076
THANKYOU,p01,data/raw\p01\THANKYOU\sample_003.npy,2026-08-23T14:23:03.241966
THANKYOU,p01,data/raw\p01\THANKYOU\sample_004.npy,2026-08-23T14:23:07.916178
THANKYOU,p01,data/raw\p01\THANKYOU\sample_005.npy,2026-08-23T14:23:52.642718
THANKYOU,p01,data/raw\p01\THANKYOU\sample_006.npy,2026-08-23T14:23:58.952698
THANKYOU,p01,data/raw\p01\THANKYOU\sample_007.npy,2026-08-23T14:24:03.148688
THANKYOU,p01,data/raw\p01\THANKYOU\sample_008.npy,2026-08-23T14:24:08.577417
THANKYOU,p01,data/raw\p01\THANKYOU\sample_009.npy,2026-08-23T14:24:13.555784
THANKYOU,p01,data/raw\p01\THANKYOU\sample_010.npy,2026-08-23T14:24:17.896666
THANKYOU,p01,data/raw\p01\THANKYOU\sample_011.npy,2026-08-23T14:24:26.211638
THANKYOU,p01,data/raw\p01\THANKYOU\sample_012.npy,2026-08-23T14:24:30.981316
THANKYOU,p01,data/raw\p01\THANKYOU\sample_013.npy,2026-08-23T14:36:24.309617
THANKYOU,p01,data/raw\p01\THANKYOU\sample_014.npy,2026-08-23T14:36:33.089961
THANKYOU,p01,data/raw\p01\THANKYOU\sample_015.npy,2026-08-23T14:36:44.254500
THANKYOU,p01,data/raw\p01\THANKYOU\sample_016.npy,2026-08-23T14:36:52.215161
THANKYOU,p01,data/raw\p01\THANKYOU\sample_017.npy,2026-08-23T14:37:00.810425
THANKYOU,p01,data/raw\p01\THANKYOU\sample_018.npy,2026-08-23T14:37:09.747830
THANKYOU,p01,data/raw\p01\THANKYOU\sample_019.npy,2026-08-23T14:37:15.775496
THANKYOU,p01,data/raw\p01\THANKYOU\sample_020.npy,2026-08-23T14:37:21.059321
THANKYOU,p01,data/raw\p01\THANKYOU\sample_021.npy,2026-08-23T14:37:37.529384
THANKYOU,p01,data/raw\p01\THANKYOU\sample_022.npy,2026-08-23T14:37:43.380920
THANKYOU,p01,data/raw\p01\THANKYOU\sample_023.npy,2026-08-23T14:37:50.867400
THANKYOU,p01,data/raw\p01\THANKYOU\sample_024.npy,2026-08-23T14:37:57.679744
SORRY,p01,data/raw\p01\SORRY\sample_000.npy,2026-08-23T15:07:48.555660
SORRY,p01,data/raw\p01\SORRY\sample_001.npy,2026-08-23T15:08:11.316604
SORRY,p01,data/raw\p01\SORRY\sample_002.npy,2026-08-23T15:08:20.315645
SORRY,p01,data/raw\p01\SORRY\sample_003.npy,2026-08-23T15:08:24.244152
SORRY,p01,data/raw\p01\SORRY\sample_004.npy,2026-08-23T15:08:28.012591
